"Time (ms)","Recording (a.u.)"
0.000000000E0,6.622516556E-3
2.087682672E-2,2.774132511E-2
4.175365344E-2,4.705954161E-2
6.263048017E-2,6.463820307E-2
8.350730689E-2,7.797479171E-2
1.043841336E-1,8.594012268E-2
1.252609603E-1,9.082308420E-2
1.461377871E-1,9.332560198E-2
1.670146138E-1,9.460737938E-2
1.878914405E-1,9.720145268E-2
2.087682672E-1,1.006805628E-1
2.296450939E-1,1.033051546E-1
2.505219207E-1,1.055635243E-1
2.713987474E-1,1.068758202E-1
2.922755741E-1,1.074861904E-1
3.131524008E-1,1.105380413E-1
3.340292276E-1,1.168248543E-1
3.549060543E-1,1.247291482E-1
3.757828810E-1,1.341593677E-1
3.966597077E-1,1.444441053E-1
4.175365344E-1,1.557054353E-1
4.384133612E-1,1.700186163E-1
4.592901879E-1,1.879329814E-1
4.801670146E-1,2.069765313E-1
5.010438413E-1,2.257148961E-1
5.219206681E-1,2.436292611E-1
5.427974948E-1,2.612689596E-1
5.636743215E-1,2.807702872E-1
5.845511482E-1,3.024384289E-1
6.054279749E-1,3.240455336E-1
6.263048017E-1,3.418988617E-1
6.471816284E-1,3.532822657E-1
6.680584551E-1,3.570970794E-1
6.889352818E-1,3.541978210E-1
7.098121086E-1,3.472396008E-1
7.306889353E-1,3.388470107E-1
7.515657620E-1,3.291116062E-1
7.724425887E-1,3.168126469E-1
7.933194154E-1,2.990203558E-1
8.141962422E-1,2.723776971E-1
8.350730689E-1,2.379528184E-1
8.559498956E-1,2.003540147E-1
8.768267223E-1,1.639454329E-1
8.977035491E-1,1.328165532E-1
9.185803758E-1,1.062349315E-1
9.394572025E-1,7.962279122E-2
9.603340292E-1,5.117954039E-2
9.812108559E-1,2.160710471E-2
1.002087683E0,-7.263405255E-3
1.022964509E0,-3.155613880E-2
1.043841336E0,-5.053865169E-2
1.064718163E0,-6.680501724E-2
1.085594990E0,-8.032471694E-2
1.106471816E0,-9.036530656E-2
1.127348643E0,-9.735404523E-2
1.148225470E0,-1.005890072E-1
1.169102296E0,-1.013214515E-1
1.189979123E0,-1.033356731E-1
1.210855950E0,-1.063875240E-1
1.231732777E0,-1.079439680E-1
1.252609603E0,-1.069673757E-1
1.273486430E0,-1.022980438E-1
1.294363257E0,-9.509567553E-2
1.315240084E0,-9.024323252E-2
1.336116910E0,-9.036530656E-2
1.356993737E0,-9.509567553E-2
1.377870564E0,-1.038850063E-1
1.398747390E0,-1.139255959E-1
1.419624217E0,-1.227454451E-1
1.440501044E0,-1.308328501E-1
1.461377871E0,-1.402325510E-1
1.482254697E0,-1.523483993E-1
1.503131524E0,-1.693777276E-1
1.524008351E0,-1.910458693E-1
1.544885177E0,-2.140568255E-1
1.565762004E0,-2.347788934E-1
1.586638831E0,-2.514419996E-1
1.607515658E0,-2.640461440E-1
1.628392484E0,-2.748191778E-1
1.649269311E0,-2.859584338E-1
1.670146138E0,-2.970976897E-1
1.691022965E0,-3.060701315E-1
1.711899791E0,-3.109225745E-1
1.732776618E0,-3.106173894E-1
1.753653445E0,-3.050325022E-1
1.774530271E0,-2.951750237E-1
1.795407098E0,-2.820215461E-1
1.816283925E0,-2.656331065E-1
1.837160752E0,-2.471999268E-1
1.858037578E0,-2.277596362E-1
1.878914405E0,-2.075563829E-1
1.899791232E0,-1.864986114E-1
1.920668058E0,-1.635486923E-1
1.941544885E0,-1.371196631E-1
1.962421712E0,-1.084933012E-1
1.983298539E0,-8.038575396E-2
2.004175365E0,-5.462813196E-2
2.025052192E0,-3.338724937E-2
2.045929019E0,-1.632740257E-2
2.066805846E0,-3.051850948E-4
2.087682672E0,1.538132878E-2
2.108559499E0,3.018280587E-2
2.129436326E0,4.382457961E-2
2.150313152E0,5.392620624E-2
2.171189979E0,5.929746391E-2
2.192066806E0,6.213568529E-2
2.212943633E0,6.317331462E-2
2.233820459E0,6.317331462E-2
2.254697286E0,6.457716605E-2
2.275574113E0,6.714072085E-2
2.296450939E0,6.964323862E-2
2.317327766E0,7.303079318E-2
2.338204593E0,7.718131046E-2
2.359081420E0,8.218634602E-2
2.379958246E0,9.021271401E-2
2.400835073E0,1.014740440E-1
2.421711900E0,1.137119663E-1
2.442588727E0,1.266212958E-1
2.463465553E0,1.397137364E-1
2.484342380E0,1.534775842E-1
2.505219207E0,1.705069124E-1
2.526096033E0,1.911374248E-1
2.546972860E0,2.127750481E-1
2.567849687E0,2.331003754E-1
2.588726514E0,2.507400739E-1
2.609603340E0,2.663350322E-1
2.630480167E0,2.821131016E-1
2.651356994E0,2.993865780E-1
2.672233820E0,3.168736839E-1
2.693110647E0,3.315530869E-1
2.713987474E0,3.406781213E-1
2.734864301E0,3.427533799E-1
2.755741127E0,3.379314554E-1
2.776617954E0,3.286843471E-1
2.797494781E0,3.175450911E-1
2.818371608E0,3.054902799E-1
2.839248434E0,2.920316172E-1
2.860125261E0,2.743003632E-1
2.881002088E0,2.489394818E-1
2.901878914E0,2.163457137E-1
2.922755741E0,1.807306131E-1
2.943632568E0,1.464583270E-1
2.964509395E0,1.179235206E-1
2.985386221E0,9.454634236E-2
3.006263048E0,7.229834895E-2
3.027139875E0,4.953154088E-2
3.048016701E0,2.700888089E-2
3.068893528E0,6.134220405E-3
3.089770355E0,-1.043733024E-2
3.110647182E0,-2.285836360E-2
3.131524008E0,-3.473006378E-2
3.152400835E0,-4.593035676E-2
3.173277662E0,-5.505539109E-2
3.194154489E0,-6.131168554E-2
3.215031315E0,-6.375316630E-2
3.235908142E0,-6.424146245E-2
3.256784969E0,-6.759849849E-2
3.277661795E0,-7.434308908E-2
3.298538622E0,-8.227790155E-2
3.319415449E0,-8.920560320E-2
3.340292276E0,-9.262367626E-2
3.361169102E0,-9.231849116E-2
3.382045929E0,-9.219641713E-2
3.402922756E0,-9.509567553E-2
3.423799582E0,-1.018097476E-1
3.444676409E0,-1.124607074E-1
3.465553236E0,-1.251258889E-1
3.486430063E0,-1.365703299E-1
3.507306889E0,-1.464278085E-1
3.528183716E0,-1.557359539E-1
3.549060543E0,-1.662343211E-1
3.569937370E0,-1.808221686E-1
3.590814196E0,-2.001403851E-1
3.611691023E0,-2.207098605E-1
3.632567850E0,-2.392651143E-1
3.653444676E0,-2.534562212E-1
3.674321503E0,-2.634357738E-1
3.695198330E0,-2.719199194E-1
3.716075157E0,-2.814111759E-1
3.736951983E0,-2.915738395E-1
3.757828810E0,-3.004547258E-1
3.778705637E0,-3.060701315E-1
3.799582463E0,-3.073519089E-1
3.820459290E0,-3.044831690E-1
