Time,Channel A
(ms),(V)

-0.34927999,-0.00045778
-0.34799999,-0.00045778
-0.34671999,-0.00045778
-0.34543999,-0.00045778
-0.34415999,-0.00045778
-0.34287999,-0.00033570
-0.34159999,-0.00018311
-0.34031999,-0.00018311
-0.33903999,-0.00018311
-0.33775999,-0.00003052
-0.33647999,0.00006104
-0.33519999,0.00006104
-0.33391999,0.00006104
-0.33263999,0.00006104
-0.33135999,0.00021363
-0.33007999,0.00021363
-0.32879999,0.00006104
-0.32751999,-0.00003052
-0.32623999,-0.00018311
-0.32495999,-0.00003052
-0.32367999,-0.00003052
-0.32239999,-0.00003052
-0.32111999,-0.00003052
-0.31983999,-0.00003052
-0.31855999,-0.00003052
-0.31727999,-0.00003052
-0.31599999,-0.00003052
-0.31471999,-0.00018311
-0.31343999,-0.00018311
-0.31215999,-0.00018311
-0.31087999,-0.00003052
-0.30959999,-0.00003052
-0.30831999,0.00006104
-0.30703999,0.00006104
-0.30575999,0.00006104
-0.30447999,0.00006104
-0.30319999,0.00006104
-0.30191999,0.00006104
-0.30063999,0.00006104
-0.29935999,0.00006104
-0.29807999,-0.00003052
-0.29679999,-0.00003052
-0.29551999,-0.00018311
-0.29423999,-0.00018311
-0.29295999,-0.00018311
-0.29167999,-0.00018311
-0.29039999,-0.00018311
-0.28911999,-0.00018311
-0.28783999,-0.00003052
-0.28655999,0.00006104
-0.28527999,0.00006104
-0.28399999,-0.00003052
-0.28271999,-0.00003052
-0.28143999,-0.00003052
-0.28015999,-0.00018311
-0.27887999,-0.00018311
-0.27759999,-0.00018311
-0.27631999,-0.00018311
-0.27503999,-0.00018311
-0.27375999,-0.00033570
-0.27247999,-0.00033570
-0.27119999,-0.00033570
-0.26991999,-0.00018311
-0.26863999,-0.00018311
-0.26735999,-0.00018311
-0.26607999,-0.00018311
-0.26479999,-0.00018311
-0.26351999,-0.00018311
-0.26223999,-0.00018311
-0.26095999,-0.00018311
-0.25967999,-0.00033570
-0.25839999,-0.00033570
-0.25711999,-0.00018311
-0.25583999,-0.00033570
-0.25455999,-0.00045778
-0.25327999,-0.00045778
-0.25199999,-0.00061037
-0.25071999,-0.00045778
-0.24943999,-0.00061037
-0.24815999,-0.00061037
-0.24687999,-0.00061037
-0.24559999,-0.00045778
-0.24431999,-0.00045778
-0.24303999,-0.00045778
-0.24175999,-0.00045778
-0.24047999,-0.00045778
-0.23919999,-0.00045778
-0.23791999,-0.00045778
-0.23663999,-0.00045778
-0.23535999,-0.00045778
-0.23407999,-0.00061037
-0.23279999,-0.00045778
-0.23151999,-0.00045778
-0.23023999,-0.00045778
-0.22895999,-0.00061037
-0.22767999,-0.00061037
-0.22639999,-0.00073244
-0.22511999,-0.00073244
-0.22383999,-0.00073244
-0.22255999,-0.00061037
-0.22127999,-0.00061037
-0.21999999,-0.00061037
-0.21871999,-0.00061037
-0.21743999,-0.00061037
-0.21615999,-0.00045778
-0.21487999,-0.00045778
-0.21359999,-0.00045778
-0.21231999,-0.00033570
-0.21103999,-0.00033570
-0.20975999,-0.00018311
-0.20847999,-0.00018311
