Frequency,Channel A,Channel B
(ms),(V),(V)

-10.00444498,0.00012207,2.03955200
-10.00188498,0.00012207,2.08471900
-9.99932498,0.00012207,2.08471900
-9.99676498,0.00012207,2.08471900
-9.99420498,0.00012207,2.08471900
-9.99164498,0.00012207,2.08471900
-9.98908498,0.00012207,2.08471900
-9.98652498,0.00012207,2.08471900
-9.98396498,0.00012207,2.08471900
-9.98140498,0.00012207,2.08471900
-9.97884498,0.00012207,2.08471900
-9.97628498,0.00012207,2.08471900
-9.97372498,0.00915555,2.08471900
-9.97116498,0.00012207,2.08471900
-9.96860498,0.00012207,2.08471900
-9.96604498,0.00012207,2.08471900
-9.96348498,0.00012207,2.08471900
-9.96092498,0.00915555,2.08471900
-9.95836498,0.00915555,2.12973400
-9.95580498,0.00915555,2.12973400
-9.95324498,0.00915555,2.08471900
-9.95068498,0.00915555,2.12973400
-9.94812498,0.00915555,2.08471900
-9.94556498,0.00915555,2.12973400
-9.94300498,0.00915555,2.12973400
-9.94044498,0.01821955,2.12973400
-9.93788498,0.01821955,2.12973400
-9.93532498,0.01821955,2.12973400
-9.93276498,0.01821955,2.12973400
-9.93020498,0.01821955,2.12973400
-9.92764498,0.01821955,2.08471900
-9.92508498,0.01821955,2.12973400
-9.92252498,0.01821955,2.12973400
-9.91996498,0.01821955,2.12973400
-9.91740498,0.01821955,2.12973400
-9.91484498,0.01821955,2.12973400
-9.91228498,0.01821955,2.12973400
-9.90972498,0.01821955,2.12973400
-9.90716498,0.01821955,2.12973400
-9.90460498,0.01821955,2.12973400
-9.90204498,0.01821955,2.17490100
-9.89948498,0.01821955,2.12973400
-9.89692498,0.01821955,2.12973400
-9.89436498,0.01821955,2.12973400
-9.89180498,0.01821955,2.17490100
-9.88924498,0.01821955,2.12973400
-9.88668498,0.01821955,2.12973400
-9.88412498,0.01821955,2.17490100
-9.88156498,0.02728355,2.17490100
-9.87900498,0.01821955,2.17490100
-9.87644498,0.01821955,2.12973400
-9.87388498,0.02728355,2.12973400
-9.87132498,0.01821955,2.17490100
-9.86876498,0.01821955,2.17490100
-9.86620498,0.02728355,2.17490100
-9.86364498,0.02728355,2.17490100
-9.86108498,0.02728355,2.12973400
-9.85852498,0.01821955,2.17490100
-9.85596498,0.01821955,2.17490100
-9.85340498,0.01821955,2.17490100
-9.85084498,0.02728355,2.12973400
-9.84828498,0.01821955,2.17490100
-9.84572498,0.02728355,2.17490100
-9.84316498,0.02728355,2.17490100
-9.84060498,0.02728355,2.17490100
-9.83804498,0.02728355,2.17490100
-9.83548498,0.02728355,2.17490100
-9.83292498,0.02728355,2.17490100
-9.83036498,0.02728355,2.17490100
-9.82780498,0.02728355,2.17490100
-9.82524498,0.02728355,2.17490100
-9.82268498,0.03631703,2.17490100
-9.82012498,0.03631703,2.17490100
-9.81756498,0.03631703,2.17490100
-9.81500498,0.03631703,2.17490100
-9.81244498,0.03631703,2.17490100
-9.80988498,0.03631703,2.17490100
-9.80732498,0.03631703,2.17490100
-9.80476498,0.03631703,2.17490100
-9.80220498,0.03631703,2.17490100
-9.79964498,0.03631703,2.17490100
-9.79708498,0.03631703,2.17490100
-9.79452498,0.03631703,2.17490100
-9.79196498,0.03631703,2.17490100
-9.78940498,0.03631703,2.17490100
-9.78684498,0.03631703,2.22006900
-9.78428498,0.03631703,2.22006900
-9.78172498,0.03631703,2.22006900
-9.77916498,0.05441450,2.17490100
-9.77660498,0.03631703,2.17490100
-9.77404498,0.03631703,2.22006900
-9.77148498,0.04538102,2.22006900
-9.76892498,0.03631703,2.22006900
-9.76636498,0.04538102,2.17490100
-9.76380498,0.03631703,2.22006900
-9.76124498,0.03631703,2.22006900
-9.75868498,0.04538102,2.22006900
-9.75612498,0.04538102,2.22006900
-9.75356498,0.04538102,2.22006900
-9.75100498,0.04538102,2.22006900
-9.74844498,0.04538102,2.22006900
-9.74588498,0.04538102,2.22006900
-9.74332498,0.05441450,2.22006900
-9.74076498,0.04538102,2.22006900
-9.73820498,0.04538102,2.22006900
-9.73564498,0.04538102,2.22006900
-9.73308498,0.05441450,2.22006900
-9.73052498,0.05441450,2.22006900
-9.72796498,0.05441450,2.22006900
-9.72540498,0.05441450,2.22006900
-9.72284498,0.05441450,2.22006900
-9.72028498,0.05441450,2.22006900
-9.71772498,0.05441450,2.22006900
-9.71516498,0.05441450,2.22006900
-9.71260498,0.05441450,2.22006900
-9.71004498,0.05441450,2.22006900
-9.70748498,0.05441450,2.22006900
-9.70492498,0.05441450,2.22006900
-9.70236498,0.05441450,2.22006900
-9.69980498,0.05441450,2.22006900
