Frequenz	Kanal A	Kanal B
(ms)	(V)	(V)

-52.95434967	2.98623600	0.49159210
-50.33290968	0.18066960	0.36494030
-47.71146970	-1.44840800	0.00314341
-45.09002971	-2.44392200	-0.36774810
-42.46858973	-2.80602400	-0.49439980
-39.84714975	0.27115700	-0.31348610
-37.22570976	1.62877300	0.07547227
-34.60426978	2.62428700	0.41016880
-31.98282979	2.26218500	0.47349470
-29.36138981	-0.63386950	0.24735250
-26.73994983	-1.81035800	-0.15063940
-24.11850984	-2.80602400	-0.44917140
-21.49706986	-1.62938300	-0.45820490
-18.87562987	0.90472120	-0.18683430
-16.25418989	1.99072200	0.22019100
-13.63274991	2.98623600	0.47349470
-11.01130992	0.94988860	0.41920220
-8.38986994	-1.13162600	0.11166720
-5.76842995	-2.17246000	-0.28632470
-3.14698997	-3.03216600	-0.48533590
-0.52554999	-0.36225470	-0.38584550
2.09589000	1.35715800	-0.03305155
4.71732998	2.35282400	0.34684290
7.33876997	2.89574900	0.49159210
9.96020995	-0.09079257	0.32874540
12.58164993	-1.53889600	-0.04208503
15.20308992	-2.53441000	-0.39487900
17.82452990	-2.53441000	-0.48533590
20.44596989	0.54261910	-0.26825770
23.06740987	1.71926000	0.11166720
25.68884986	2.76009400	0.43729970
28.31028984	1.85491500	0.46443070
30.93172982	-0.81484420	0.20212410
33.55316981	-1.90084500	-0.19586780
36.17460979	-2.94167900	-0.46723840
38.79604978	-1.17679400	-0.43107390
41.41748976	1.08569600	-0.14160590
44.03892974	2.12653000	0.26541950
46.66036973	2.98623600	0.48252820
49.28180971	0.58793910	0.39207130
51.90324970	-1.26743400	0.05737480
54.52468968	-2.26294800	-0.32251960
57.14612966	-2.98699900	-0.49439980
59.76756965	-0.00030519	-0.34965060
62.38900963	1.49296500	0.02121036
65.01044962	2.44331200	0.37397380
67.63188960	2.66945400	0.49159210
70.25332958	-0.36225470	0.29258100
72.87476957	-1.62938300	-0.09637745
75.49620955	-2.67021700	-0.42200990
